날짜,시군구지역코드,발생건수(건)
2023-10-04,43150,1348
2023-10-04,43720,295
2023-10-04,43730,828
2023-10-04,43740,463
2023-10-04,43745,422
2023-10-04,43750,1178
2023-10-04,43760,340
2023-10-04,43770,1266
2023-10-04,43800,245
2023-10-04,44131,3390
2023-10-04,44133,6055
2023-10-04,44150,1070
2023-10-04,44180,1205
2023-10-04,44200,5279
2023-10-04,44210,1866
2023-10-04,44230,1442
2023-10-04,44250,665
2023-10-04,44270,2011
2023-10-04,44710,482
2023-10-04,44760,732
2023-10-04,44770,651
2023-10-04,44790,340
2023-10-04,44800,1203
2023-10-04,44810,810
2023-10-04,44825,698
2023-10-04,45111,4483
2023-10-04,45113,4612
2023-10-04,45130,3788
2023-10-04,45140,3216
2023-10-04,45180,1160
2023-10-04,45190,1015
2023-10-04,45210,1054
2023-10-04,45710,1161
2023-10-04,45720,330
2023-10-04,45730,244
2023-10-04,45740,289
2023-10-04,45750,288
2023-10-04,45770,287
2023-10-04,45790,644
2023-10-04,45800,437
2023-10-04,46110,2704
2023-10-04,46130,3511
2023-10-04,46150,2897
2023-10-04,46170,1463
2023-10-04,46230,1881
2023-10-04,46710,456
2023-10-04,46720,278
2023-10-04,46730,275
2023-10-04,46770,580
2023-10-04,46780,295
2023-10-04,46790,766
2023-10-04,46800,425
2023-10-04,46810,357
2023-10-04,46820,698
2023-10-04,46830,709
2023-10-04,46840,1197
2023-10-04,46860,253
2023-10-04,46870,690
2023-10-04,46880,462
2023-10-04,46890,634
2023-10-04,46900,321
2023-10-04,46910,379
2023-10-04,47111,2815
2023-10-04,47113,3504
2023-10-04,47130,2661
2023-10-04,47150,1671
2023-10-04,47170,1772
2023-10-04,47190,6026
2023-10-04,47210,1195
2023-10-04,47230,1162
2023-10-04,47250,969
2023-10-04,47280,915
2023-10-04,47290,3535
2023-10-04,47730,404
2023-10-04,47750,196
2023-10-04,47760,118
2023-10-04,47770,488
2023-10-04,47820,390
2023-10-04,47830,305
2023-10-04,47840,490
2023-10-04,47850,1474
2023-10-04,47900,622
2023-10-04,47920,255
2023-10-04,47930,623
2023-10-04,47940,63
