날짜,시군구지역코드,발생건수(건)
2023-10-03,47750,0
2023-10-03,47760,0
2023-10-03,47770,1
2023-10-03,47820,7
2023-10-03,47830,3
2023-10-03,47840,1
2023-10-03,47850,8
2023-10-03,47900,1
2023-10-03,47920,1
2023-10-03,47930,1
2023-10-03,47940,0
2023-10-03,48121,17
2023-10-03,48123,9
2023-10-03,48125,5
2023-10-03,48127,6
2023-10-03,48129,17
2023-10-03,48170,21
2023-10-03,48220,8
2023-10-03,48240,6
2023-10-03,48250,64
2023-10-03,48270,4
2023-10-03,48310,17
2023-10-03,48330,26
2023-10-03,48720,6
2023-10-03,48730,4
2023-10-03,48740,3
2023-10-03,48820,9
2023-10-03,48840,1
2023-10-03,48850,2
2023-10-03,48860,0
2023-10-03,48870,3
2023-10-03,48880,0
2023-10-03,48890,4
2023-10-03,49110,42
2023-10-03,49130,13
2023-10-04,11110,70
2023-10-04,11140,101
2023-10-04,11170,100
2023-10-04,11200,112
2023-10-04,11215,228
2023-10-04,11230,188
2023-10-04,11260,291
2023-10-04,11290,161
2023-10-04,11305,158
2023-10-04,11320,196
2023-10-04,11350,221
2023-10-04,11380,291
2023-10-04,11410,208
2023-10-04,11440,156
2023-10-04,11470,170
2023-10-04,11500,248
2023-10-04,11530,189
2023-10-04,11545,81
2023-10-04,11560,162
2023-10-04,11590,209
2023-10-04,11620,214
2023-10-04,11650,190
2023-10-04,11680,258
2023-10-04,11710,255
2023-10-04,11740,215
2023-10-04,26110,12
2023-10-04,26140,65
2023-10-04,26170,56
2023-10-04,26200,92
2023-10-04,26230,226
2023-10-04,26260,152
2023-10-04,26290,93
2023-10-04,26320,249
2023-10-04,26350,195
2023-10-04,26380,163
2023-10-04,26410,128
2023-10-04,26440,61
2023-10-04,26470,126
2023-10-04,26500,92
2023-10-04,26530,96
2023-10-04,26710,65
2023-10-04,27110,35
2023-10-04,27140,149
2023-10-04,27170,108
2023-10-04,27200,62
2023-10-04,27230,197
2023-10-04,27260,192
2023-10-04,27290,332
2023-10-04,27710,123
2023-10-04,28110,59
2023-10-04,28140,38
2023-10-04,28170,0
2023-10-04,28185,207
2023-10-04,28200,253
2023-10-04,28237,303
2023-10-04,28245,119
2023-10-04,28260,354
2023-10-04,28710,38
2023-10-04,28720,6
2023-10-04,29110,81
2023-10-04,29140,167
2023-10-04,29155,169
2023-10-04,29170,340
2023-10-04,29200,211
2023-10-04,30110,104
2023-10-04,30140,108
2023-10-04,30170,216
2023-10-04,30200,198
2023-10-04,30230,121
2023-10-04,31110,97
2023-10-04,31140,164
2023-10-04,31170,69
2023-10-04,31200,128
2023-10-04,31710,93
2023-10-04,36110,192
2023-10-04,41111,129
2023-10-04,41113,208
2023-10-04,41115,112
2023-10-04,41117,193
2023-10-04,41131,132
2023-10-04,41133,109
2023-10-04,41135,252
2023-10-04,41150,152
2023-10-04,41171,106
2023-10-04,41173,152
2023-10-04,41190,503
2023-10-04,41210,115
2023-10-04,41220,346
2023-10-04,41250,32
2023-10-04,41271,177
2023-10-04,41273,171
2023-10-04,41281,256
2023-10-04,41285,136
2023-10-04,41287,123
2023-10-04,41290,28
2023-10-04,41310,100
2023-10-04,41360,333
2023-10-04,41370,103
2023-10-04,41390,220
2023-10-04,41410,114
2023-10-04,41430,72
2023-10-04,41450,165
2023-10-04,41461,125
2023-10-04,41463,202
2023-10-04,41465,240
2023-10-04,41480,287
2023-10-04,41500,106
2023-10-04,41550,92
2023-10-04,41570,212
2023-10-04,41590,419
2023-10-04,41610,185
2023-10-04,41630,147
2023-10-04,41650,80
2023-10-04,41670,35
2023-10-04,41800,24
2023-10-04,41820,33
2023-10-04,41830,59
2023-10-04,42110,0
2023-10-04,42130,0
2023-10-04,42150,0
2023-10-04,42170,0
2023-10-04,42190,0
2023-10-04,42720,0
2023-10-04,42750,0
2023-10-04,42830,0
2023-10-04,43111,160
2023-10-04,43112,126
2023-10-04,43113,130
2023-10-04,43114,168
2023-10-04,43130,106
2023-10-04,43150,96
2023-10-04,43720,17
2023-10-04,43730,34
2023-10-04,43740,32
2023-10-04,43745,20
2023-10-04,43750,28
2023-10-04,43760,19
2023-10-04,43770,48
2023-10-04,43800,7
2023-10-04,44131,159
2023-10-04,44133,269
2023-10-04,44150,93
2023-10-04,44180,80
2023-10-04,44200,283
2023-10-04,44210,55
2023-10-04,44230,61
2023-10-04,44250,17
2023-10-04,44270,216
2023-10-04,44710,27
2023-10-04,44760,35
2023-10-04,44770,26
2023-10-04,44790,17
2023-10-04,44800,50
2023-10-04,44810,61
2023-10-04,44825,35
2023-10-04,45111,216
2023-10-04,45113,190
2023-10-04,45130,141
2023-10-04,45140,294
2023-10-04,45180,132
2023-10-04,45190,46
2023-10-04,45210,62
2023-10-04,45710,65
2023-10-04,45720,20
2023-10-04,45730,18
2023-10-04,45740,22
2023-10-04,45750,20
2023-10-04,45770,22
2023-10-04,45790,46
2023-10-04,45800,32
2023-10-04,46110,141
2023-10-04,46130,154
2023-10-04,46150,275
2023-10-04,46170,74
2023-10-04,46230,67
2023-10-04,46710,51
2023-10-04,46720,21
2023-10-04,46730,13
2023-10-04,46770,84
2023-10-04,46780,32
2023-10-04,46790,55
2023-10-04,46800,68
2023-10-04,46810,28
2023-10-04,46820,71
2023-10-04,46830,63
2023-10-04,46840,76
2023-10-04,46860,23
2023-10-04,46870,41
2023-10-04,46880,32
2023-10-04,46890,42
2023-10-04,46900,28
2023-10-04,46910,18
2023-10-04,47111,139
2023-10-04,47113,128
2023-10-04,47130,150
2023-10-04,47150,89
2023-10-04,47170,98
2023-10-04,47190,135
2023-10-04,47210,54
2023-10-04,47230,49
2023-10-04,47250,144
2023-10-04,47280,43
2023-10-04,47290,187
2023-10-04,47730,26
2023-10-04,47750,23
2023-10-04,47760,14
2023-10-04,47770,31
2023-10-04,47820,14
2023-10-04,47830,9
2023-10-04,47840,34
2023-10-04,47850,50
2023-10-04,47900,30
2023-10-04,47920,11
2023-10-04,47930,21
2023-10-04,47940,2
2023-10-04,48121,149
2023-10-04,48123,117
2023-10-04,48125,86
2023-10-04,48127,78
2023-10-04,48129,157
2023-10-04,48170,181
2023-10-04,48220,88
2023-10-04,48240,67
2023-10-04,48250,324
2023-10-04,48270,47
2023-10-04,48310,128
2023-10-04,48330,170
2023-10-04,48720,18
2023-10-04,48730,22
2023-10-04,48740,39
2023-10-04,48820,43
2023-10-04,48840,22
2023-10-04,48850,39
2023-10-04,48860,21
2023-10-04,48870,25
2023-10-04,48880,59
2023-10-04,48890,32
2023-10-04,49110,225
2023-10-04,49130,90
2023-10-05,11110,39
2023-10-05,11140,63
2023-10-05,11170,74
2023-10-05,11200,117
2023-10-05,11215,160
2023-10-05,11230,139
2023-10-05,11260,223
2023-10-05,11290,142
2023-10-05,11305,125
2023-10-05,11320,171
2023-10-05,11350,182
2023-10-05,11380,224
2023-10-05,11410,160
2023-10-05,11440,114
2023-10-05,11470,167
2023-10-05,11500,203
2023-10-05,11530,178
2023-10-05,11545,68
2023-10-05,11560,154
2023-10-05,11590,182
2023-10-05,11620,156
2023-10-05,11650,174
2023-10-05,11680,205
2023-10-05,11710,226
2023-10-05,11740,211
2023-10-05,26110,13
2023-10-05,26140,36
2023-10-05,26170,45
2023-10-05,26200,70
2023-10-05,26230,187
2023-10-05,26260,115
2023-10-05,26290,73
2023-10-05,26320,173
2023-10-05,26350,186
2023-10-05,26380,132
2023-10-05,26410,91
2023-10-05,26440,48
2023-10-05,26470,84
2023-10-05,26500,64
2023-10-05,26530,92
2023-10-05,26710,48
2023-10-05,27110,42
2023-10-05,27140,118
2023-10-05,27170,91
2023-10-05,27200,53
2023-10-05,27230,137
2023-10-05,27260,163
2023-10-05,27290,196
2023-10-05,27710,108
2023-10-05,28110,49
2023-10-05,28140,39
2023-10-05,28170,0
2023-10-05,28185,146
2023-10-05,28200,198
2023-10-05,28237,253
2023-10-05,28245,94
2023-10-05,28260,287
2023-10-05,28710,36
2023-10-05,28720,9
2023-10-05,29110,68
2023-10-05,29140,134
2023-10-05,29155,143
2023-10-05,29170,265
2023-10-05,29200,159
2023-10-05,30110,93
2023-10-05,30140,74
2023-10-05,30170,151
2023-10-05,30200,180
2023-10-05,30230,93
2023-10-05,31110,94
2023-10-05,31140,141
2023-10-05,31170,47
2023-10-05,31200,113
2023-10-05,31710,95
2023-10-05,36110,192
2023-10-05,41111,102
2023-10-05,41113,166
2023-10-05,41115,105
2023-10-05,41117,129
2023-10-05,41131,112
2023-10-05,41133,78
2023-10-05,41135,161
2023-10-05,41150,133
2023-10-05,41171,100
2023-10-05,41173,154
2023-10-05,41190,415
2023-10-05,41210,102
2023-10-05,41220,301
2023-10-05,41250,25
2023-10-05,41271,144
2023-10-05,41273,150
2023-10-05,41281,189
2023-10-05,41285,104
2023-10-05,41287,121
2023-10-05,41290,16
2023-10-05,41310,84
2023-10-05,41360,289
2023-10-05,41370,97
2023-10-05,41390,180
2023-10-05,41410,105
2023-10-05,41430,55
2023-10-05,41450,161
2023-10-05,41461,92
2023-10-05,41463,149
2023-10-05,41465,152
2023-10-05,41480,228
2023-10-05,41500,69
2023-10-05,41550,128
2023-10-05,41570,193
2023-10-05,41590,292
2023-10-05,41610,167
2023-10-05,41630,123
2023-10-05,41650,58
2023-10-05,41670,24
2023-10-05,41800,20
2023-10-05,41820,15
2023-10-05,41830,57
2023-10-05,42130,0
2023-10-05,42150,0
2023-10-05,42170,0
2023-10-05,42720,0
2023-10-05,42750,0
2023-10-05,42760,0
2023-10-05,42770,0
2023-10-05,42790,0
2023-10-05,42810,0
2023-10-05,42830,0
2023-10-05,43111,119
2023-10-05,43112,108
2023-10-05,43113,94
2023-10-05,43114,123
2023-10-05,43130,76
2023-10-05,43150,89
2023-10-05,43720,23
2023-10-05,43730,25
2023-10-05,43740,33
2023-10-05,43745,13
2023-10-05,43750,25
2023-10-05,43760,15
2023-10-05,43770,32
2023-10-05,43800,6
2023-10-05,44131,118
2023-10-05,44133,215
2023-10-05,44150,79
2023-10-05,44180,55
