날짜,시도지역코드,발생건수(건)
2023-11-18,42,0
2023-11-18,43,744
2023-11-18,44,1101
2023-11-18,45,968
2023-11-18,46,756
2023-11-18,47,1202
2023-11-18,48,1610
2023-11-18,49,316
2023-11-18,99,25427
2023-11-19,11,324
2023-11-19,26,47
2023-11-19,27,37
2023-11-19,28,94
2023-11-19,29,42
2023-11-19,30,47
2023-11-19,31,20
2023-11-19,41,657
2023-11-19,43,32
2023-11-19,44,65
2023-11-19,45,34
2023-11-19,46,42
2023-11-19,47,33
2023-11-19,48,81
2023-11-19,49,94
2023-11-19,99,1671
2023-11-20,11,9059
2023-11-20,26,3197
2023-11-20,27,2796
2023-11-20,28,2342
2023-11-20,29,1103
2023-11-20,30,1452
2023-11-20,31,800
2023-11-20,41,12825
2023-11-20,42,1
2023-11-20,43,1456
2023-11-20,44,2082
2023-11-20,45,2055
2023-11-20,46,1767
2023-11-20,47,2546
2023-11-20,48,2818
2023-11-20,49,849
2023-11-20,99,48612
2023-11-21,11,7423
2023-11-21,26,2698
2023-11-21,27,2236
2023-11-21,28,1956
2023-11-21,29,951
2023-11-21,30,1102
2023-11-21,31,631
2023-11-21,41,10404
2023-11-21,42,0
2023-11-21,43,1283
2023-11-21,44,1719
2023-11-21,45,1597
2023-11-21,46,1502
2023-11-21,47,2070
2023-11-21,48,2398
2023-11-21,49,622
2023-11-21,99,39750
2023-11-22,11,6388
2023-11-22,26,2361
2023-11-22,27,1996
2023-11-22,28,1725
2023-11-22,29,793
2023-11-22,30,993
2023-11-22,31,570
2023-11-22,41,8958
2023-11-22,42,0
2023-11-22,43,1137
2023-11-22,44,1440
2023-11-22,45,1507
2023-11-22,46,1179
2023-11-22,47,1854
2023-11-22,48,2098
2023-11-22,49,592
2023-11-22,99,34641
2023-11-23,11,6378
2023-11-23,26,2423
2023-11-23,27,2090
2023-11-23,28,1662
2023-11-23,29,767
2023-11-23,30,947
2023-11-23,31,578
2023-11-23,41,8936
2023-11-23,42,0
2023-11-23,43,996
2023-11-23,44,1580
2023-11-23,45,1448
2023-11-23,46,1299
2023-11-23,47,1973
2023-11-23,48,2166
2023-11-23,49,544
2023-11-23,99,34820
2023-11-24,11,7034
2023-11-24,26,2721
2023-11-24,27,2118
2023-11-24,28,1835
2023-11-24,29,922
2023-11-24,30,1090
2023-11-24,31,614
2023-11-24,41,10368
2023-11-24,42,0
2023-11-24,43,1155
2023-11-24,44,1652
2023-11-24,45,1581
2023-11-24,46,1379
2023-11-24,47,2042
2023-11-24,48,2354
2023-11-24,49,606
2023-11-24,99,38609
2023-11-25,11,4673
2023-11-25,26,1659
2023-11-25,27,1377
2023-11-25,28,1339
2023-11-25,29,629
2023-11-25,30,719
2023-11-25,31,375
2023-11-25,41,7020
2023-11-25,42,0
2023-11-25,43,716
